game_id,tag
10035,Heist
3612,Singleplayer
3612,Steam Achievements
3612,Atmospheric
3612,steam-trading-cards
3612,Great Soundtrack
3612,2D
3612,Partial Controller Support
3612,Gore
3612,Difficult
3612,Violent
3612,Pixel Graphics
3612,Retro
3612,controller support
3612,Fast-Paced
3612,Top-Down
3612,overlay
3612,Music
3612,Surreal
3612,Top-Down Shooter
3612,1980s
3612,Psychedelic
3790,Singleplayer
3790,Steam Achievements
3790,Full controller support
3790,Steam Cloud
3790,Atmospheric
3790,steam-trading-cards
3790,First-Person
3790,Sci-fi
3790,Horror
3790,FPS
3790,Gore
3790,Difficult
3790,Survival
3790,Stealth
3790,Dark
3790,Nudity
3790,Survival Horror
3790,controller support
3790,Captions available
3790,Walking Simulator
3790,Parkour
3790,3D Vision
1447,Singleplayer
1447,Full controller support
1447,Atmospheric
1447,Great Soundtrack
1447,RPG
1447,Story Rich
1447,Open World
1447,First-Person
1447,Third Person
1447,Sci-fi
1447,FPS
1447,Stealth
1447,Futuristic
1447,Cyberpunk
1447,Dystopian
1447,Illuminati
1447,Conspiracy
1447,Transhumanism
4161,Singleplayer
4161,Multiplayer
4161,Atmospheric
4161,RPG
4161,Co-op
4161,Story Rich
4161,Open World
4161,cooperative
4161,First-Person
4161,Partial Controller Support
4161,FPS
4161,Online Co-Op
4161,Sandbox
4161,Survival
4161,Stealth
4161,Nudity
4161,Colorful
4161,Crafting
4161,Hunting
10142,Multiplayer
10142,Co-op
10142,Open World
10142,cooperative
10142,First-Person
10142,FPS
10142,Online Co-Op
10142,Survival
10142,Violent
10142,Online multiplayer
10142,Tactical
10142,Third-Person Shooter
10142,PvP
10142,Battle Royale
10533,Singleplayer
10533,Steam Achievements
10533,Multiplayer
10533,steam-trading-cards
10533,RPG
10533,Co-op
10533,cooperative
10533,Online Co-Op
10533,Fantasy
10533,Free to Play
10533,Online multiplayer
10533,Action RPG
10533,Hack and Slash
10533,In-App Purchases
10533,Character Customization
10533,Dark Fantasy
10533,mmo
10533,Dungeon Crawler
10533,MMORPG
10533,PvE
10533,Loot
10533,Inventory Management
10533,Fishing
9721,Singleplayer
9721,Steam Achievements
9721,Multiplayer
9721,Steam Cloud
9721,steam-trading-cards
9721,Co-op
9721,First-Person
9721,FPS
9721,Online Co-Op
9721,Funny
9721,Sandbox
9721,Comedy
9721,Steam Workshop
9721,Cross-Platform Multiplayer
9721,Includes level editor
9721,Moddable
9721,Captions available
9721,Physics
9721,Building
9721,Valve Anti-Cheat enabled
9721,vr mod
9721,Mod
9721,Animation & Modeling
19487,Singleplayer
19487,Steam Achievements
19487,Full controller support
19487,Steam Cloud
19487,Atmospheric
19487,steam-trading-cards
19487,Great Soundtrack
19487,Story Rich
19487,Open World
19487,Third Person
19487,Horror
19487,Survival
19487,Third-Person Shooter
19487,Dark
19487,Survival Horror
19487,controller support
19487,Mystery
19487,Cinematic
19487,Episodic
19487,Narration
19487,Supernatural
19487,Thriller
19487,psycholoical-horror
19487,enviroment
13668,Singleplayer
13668,Full controller support
13668,Atmospheric
13668,Great Soundtrack
13668,Story Rich
13668,First-Person
13668,Horror
13668,Exploration
13668,Classic
13668,Survival
13668,Stealth
13668,Dark
13668,Moddable
13668,Survival Horror
13668,Captions available
13668,Commentary available
13668,Gothic
13668,Lovecraftian
11935,Multiplayer
11935,First-Person
11935,Sci-fi
11935,Horror
11935,FPS
11935,Classic
11935,Valve Anti-Cheat enabled
3696,Singleplayer
